state_name,state_abbreviation,state_FIPS,county_name,county_FIPS
Florida,FL,12000,Citrus County,12017
Florida,FL,12000,Clay County,12019
Florida,FL,12000,Collier County,12021
Florida,FL,12000,Columbia County,12023
Florida,FL,12000,DeSoto County,12027
Florida,FL,12000,Dixie County,12029
Florida,FL,12000,Duval County,12031
Florida,FL,12000,Escambia County,12033
Florida,FL,12000,Flagler County,12035
Florida,FL,12000,Franklin County,12037
Florida,FL,12000,Gadsden County,12039
Florida,FL,12000,Gilchrist County,12041
Florida,FL,12000,Glades County,12043
Florida,FL,12000,Gulf County,12045
Florida,FL,12000,Hamilton County,12047
Florida,FL,12000,Hardee County,12049
Florida,FL,12000,Hendry County,12051
Florida,FL,12000,Hernando County,12053
Florida,FL,12000,Highlands County,12055
Florida,FL,12000,Hillsborough County,12057
Florida,FL,12000,Holmes County,12059
Florida,FL,12000,Indian River County,12061
Florida,FL,12000,Jackson County,12063
Florida,FL,12000,Jefferson County,12065
Florida,FL,12000,Lafayette County,12067
Florida,FL,12000,Lake County,12069
Florida,FL,12000,Lee County,12071
Florida,FL,12000,Leon County,12073
Florida,FL,12000,Levy County,12075
Florida,FL,12000,Liberty County,12077
Florida,FL,12000,Madison County,12079
Florida,FL,12000,Manatee County,12081
Florida,FL,12000,Marion County,12083
Florida,FL,12000,Martin County,12085
Florida,FL,12000,Miami-Dade County,12086
Florida,FL,12000,Monroe County,12087
Florida,FL,12000,Nassau County,12089
Florida,FL,12000,Okaloosa County,12091
Florida,FL,12000,Okeechobee County,12093
Florida,FL,12000,Orange County,12095
Florida,FL,12000,Osceola County,12097
Florida,FL,12000,Palm Beach County,12099
Florida,FL,12000,Pasco County,12101
Florida,FL,12000,Pinellas County,12103
Florida,FL,12000,Polk County,12105
Florida,FL,12000,Putnam County,12107
Florida,FL,12000,St. Johns County,12109
Florida,FL,12000,St. Lucie County,12111
Florida,FL,12000,Santa Rosa County,12113
Florida,FL,12000,Sarasota County,12115
Florida,FL,12000,Seminole County,12117
Florida,FL,12000,Sumter County,12119
Florida,FL,12000,Suwannee County,12121
Florida,FL,12000,Taylor County,12123
Florida,FL,12000,Union County,12125
Florida,FL,12000,Volusia County,12127
Florida,FL,12000,Wakulla County,12129
Florida,FL,12000,Walton County,12131
Florida,FL,12000,Washington County,12133
Georgia,GA,13000,Appling County,13001
Georgia,GA,13000,Atkinson County,13003
Georgia,GA,13000,Bacon County,13005
Georgia,GA,13000,Baker County,13007
Georgia,GA,13000,Baldwin County,13009
Georgia,GA,13000,Banks County,13011
Georgia,GA,13000,Barrow County,13013
Georgia,GA,13000,Bartow County,13015
Georgia,GA,13000,Ben Hill County,13017
Georgia,GA,13000,Berrien County,13019
Georgia,GA,13000,Bibb County,13021
Georgia,GA,13000,Bleckley County,13023
Georgia,GA,13000,Brantley County,13025
Georgia,GA,13000,Brooks County,13027
Georgia,GA,13000,Bryan County,13029
Georgia,GA,13000,Bulloch County,13031
Georgia,GA,13000,Burke County,13033
Georgia,GA,13000,Butts County,13035
Georgia,GA,13000,Calhoun County,13037
Georgia,GA,13000,Camden County,13039
Georgia,GA,13000,Candler County,13043
Georgia,GA,13000,Carroll County,13045
Georgia,GA,13000,Catoosa County,13047
Georgia,GA,13000,Charlton County,13049
Georgia,GA,13000,Chatham County,13051
Georgia,GA,13000,Chattahoochee County,13053
Georgia,GA,13000,Chattooga County,13055
Georgia,GA,13000,Cherokee County,13057
Georgia,GA,13000,Clarke County,13059
Georgia,GA,13000,Clay County,13061
Georgia,GA,13000,Clayton County,13063
Georgia,GA,13000,Clinch County,13065
Georgia,GA,13000,Cobb County,13067
Georgia,GA,13000,Coffee County,13069
Georgia,GA,13000,Colquitt County,13071
Georgia,GA,13000,Columbia County,13073
Georgia,GA,13000,Cook County,13075
Georgia,GA,13000,Coweta County,13077
Georgia,GA,13000,Crawford County,13079
Georgia,GA,13000,Crisp County,13081
Georgia,GA,13000,Dade County,13083
Georgia,GA,13000,Dawson County,13085
Georgia,GA,13000,Decatur County,13087
Georgia,GA,13000,DeKalb County,13089
Georgia,GA,13000,Dodge County,13091
Georgia,GA,13000,Dooly County,13093
Georgia,GA,13000,Dougherty County,13095
Georgia,GA,13000,Douglas County,13097
Georgia,GA,13000,Early County,13099
Georgia,GA,13000,Echols County,13101
Georgia,GA,13000,Effingham County,13103
Georgia,GA,13000,Elbert County,13105
Georgia,GA,13000,Emanuel County,13107
Georgia,GA,13000,Evans County,13109
Georgia,GA,13000,Fannin County,13111
Georgia,GA,13000,Fayette County,13113
Georgia,GA,13000,Floyd County,13115
Georgia,GA,13000,Forsyth County,13117
Georgia,GA,13000,Franklin County,13119
Georgia,GA,13000,Fulton County,13121
Georgia,GA,13000,Gilmer County,13123
Georgia,GA,13000,Glascock County,13125
Georgia,GA,13000,Glynn County,13127
Georgia,GA,13000,Gordon County,13129
Georgia,GA,13000,Grady County,13131
Georgia,GA,13000,Greene County,13133
